id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385633049317097472,1385633049317097472,2021-04-23 22:03:57 IST,2021-04-23,22:03:57,+0530,1028989226841505793,replaycrypto,ReplayCrypto.com,,"This is our #BNB future price forecast! -&gt; #BNB 6h forecast -&gt; From Apr 23, 6PM (CET) to Apr 24, 12AM (CET) we predicted the price of $BNB / $BNBUSD will be in range $476.68 - $510.07 (-5.6% 1.0%).  https://t.co/xa2SYSqgC8",en,[],[],['https://pbs.twimg.com/media/EzrB6k8X0AUDjC4.png'],0,0,1,"['bnb', 'bnb']","['bnb', 'bnbusd']",https://twitter.com/ReplayCrypto/status/1385633049317097472,False,,1,https://pbs.twimg.com/media/EzrB6k8X0AUDjC4.png,,,,,,,[],,,,
1385632886632689664,1385632886632689664,2021-04-23 22:03:18 IST,2021-04-23,22:03:18,+0530,1028989226841505793,replaycrypto,ReplayCrypto.com,,"This is our #ETH future price forecast! -&gt; #Ethereum 6h forecast -&gt; From Apr 23, 6PM (CET) to Apr 24, 12AM (CET) we predicted the price of $ETH / $ETHUSD will be in range $2244.81 - $2357.18 (-3.8% 1.0%).  https://t.co/570JKLHN7K",en,[],[],['https://pbs.twimg.com/media/EzrBxGrXsAAi8-d.png'],0,0,1,"['eth', 'ethereum']","['eth', 'ethusd']",https://twitter.com/ReplayCrypto/status/1385632886632689664,False,,1,https://pbs.twimg.com/media/EzrBxGrXsAAi8-d.png,,,,,,,[],,,,
1385632722228551685,1385632722228551685,2021-04-23 22:02:39 IST,2021-04-23,22:02:39,+0530,1028989226841505793,replaycrypto,ReplayCrypto.com,,"This is our #BTC future price forecast! -&gt; #Bitcon 6h forecast -&gt; From Apr 23, 6PM (CET) to Apr 24, 12AM (CET) we predicted the price of $BTC / $BTCUSD will be in range $47097.38 - $50334.99 (-5.5% 1.0%).  https://t.co/JdMzNOiOW2",en,[],[],['https://pbs.twimg.com/media/EzrBneqXoAEVk84.png'],0,0,0,"['btc', 'bitcon']","['btc', 'btcusd']",https://twitter.com/ReplayCrypto/status/1385632722228551685,False,,1,https://pbs.twimg.com/media/EzrBneqXoAEVk84.png,,,,,,,[],,,,
1385587755527413761,1385587755527413761,2021-04-23 19:03:58 IST,2021-04-23,19:03:58,+0530,1028989226841505793,replaycrypto,ReplayCrypto.com,,"This is our #BNB future price forecast! -&gt; #BNB 6h forecast -&gt; From Apr 23, 3PM (CET) to Apr 23, 9PM (CET) we predicted the price of $BNB / $BNBUSD will be in range $449.22 - $501.89 (-9.6% 1.0%).  https://t.co/Xmmiv4hPkY",en,[],[],['https://pbs.twimg.com/media/EzqYuIJWUAQdcxI.png'],0,0,2,"['bnb', 'bnb']","['bnb', 'bnbusd']",https://twitter.com/ReplayCrypto/status/1385587755527413761,False,,1,https://pbs.twimg.com/media/EzqYuIJWUAQdcxI.png,,,,,,,[],,,,
1385587592335351809,1385587592335351809,2021-04-23 19:03:19 IST,2021-04-23,19:03:19,+0530,1028989226841505793,replaycrypto,ReplayCrypto.com,,"This is our #ETH future price forecast! -&gt; #Ethereum 6h forecast -&gt; From Apr 23, 3PM (CET) to Apr 23, 9PM (CET) we predicted the price of $ETH / $ETHUSD will be in range $2028.77 - $2266.66 (-9.6% 1.0%).  https://t.co/jknrizKUKf",en,[],[],['https://pbs.twimg.com/media/EzqYkogWUAIwgSX.png'],0,0,1,"['eth', 'ethereum']","['eth', 'ethusd']",https://twitter.com/ReplayCrypto/status/1385587592335351809,False,,1,https://pbs.twimg.com/media/EzqYkogWUAIwgSX.png,,,,,,,[],,,,
1385587427864088577,1385587427864088577,2021-04-23 19:02:40 IST,2021-04-23,19:02:40,+0530,1028989226841505793,replaycrypto,ReplayCrypto.com,,"This is our #BTC future price forecast! -&gt; #Bitcon 6h forecast -&gt; From Apr 23, 3PM (CET) to Apr 23, 9PM (CET) we predicted the price of $BTC / $BTCUSD will be in range $46100.82 - $49741.79 (-6.4% 1.0%).  https://t.co/Uu32AF6KjC",en,[],[],['https://pbs.twimg.com/media/EzqYbDVWEAQA5AT.png'],0,0,0,"['btc', 'bitcon']","['btc', 'btcusd']",https://twitter.com/ReplayCrypto/status/1385587427864088577,False,,1,https://pbs.twimg.com/media/EzqYbDVWEAQA5AT.png,,,,,,,[],,,,
1385497159672508417,1385497159672508417,2021-04-23 13:03:58 IST,2021-04-23,13:03:58,+0530,1028989226841505793,replaycrypto,ReplayCrypto.com,,"This is our #BNB future price forecast! -&gt; #BNB 6h forecast -&gt; From Apr 23, 9AM (CET) to Apr 23, 3PM (CET) we predicted the price of $BNB / $BNBUSD will be in range $452.53 - $485.38 (-5.8% 1.0%).  https://t.co/sFEmUwLmOV",en,[],[],['https://pbs.twimg.com/media/EzpGUw5WEAEFQDX.png'],0,0,1,"['bnb', 'bnb']","['bnb', 'bnbusd']",https://twitter.com/ReplayCrypto/status/1385497159672508417,False,,1,https://pbs.twimg.com/media/EzpGUw5WEAEFQDX.png,,,,,,,[],,,,
1385496994857246721,1385496994857246721,2021-04-23 13:03:19 IST,2021-04-23,13:03:19,+0530,1028989226841505793,replaycrypto,ReplayCrypto.com,,"This is our #ETH future price forecast! -&gt; #Ethereum 6h forecast -&gt; From Apr 23, 9AM (CET) to Apr 23, 3PM (CET) we predicted the price of $ETH / $ETHUSD will be in range $2082.50 - $2232.52 (-5.8% 1.0%).  https://t.co/ZdHeKNL9ON",en,[],[],['https://pbs.twimg.com/media/EzpGLJ1XIAAv33L.png'],0,0,4,"['eth', 'ethereum']","['eth', 'ethusd']",https://twitter.com/ReplayCrypto/status/1385496994857246721,False,,1,https://pbs.twimg.com/media/EzpGLJ1XIAAv33L.png,,,,,,,[],,,,
1385496828406378500,1385496828406378500,2021-04-23 13:02:39 IST,2021-04-23,13:02:39,+0530,1028989226841505793,replaycrypto,ReplayCrypto.com,,"This is our #BTC future price forecast! -&gt; #Bitcon 6h forecast -&gt; From Apr 23, 9AM (CET) to Apr 23, 3PM (CET) we predicted the price of $BTC / $BTCUSD will be in range $45952.16 - $49541.99 (-6.3% 1.0%).  https://t.co/Rx5MEfWSLD",en,[],[],['https://pbs.twimg.com/media/EzpGBdtWQAEXZXT.png'],0,0,2,"['btc', 'bitcon']","['btc', 'btcusd']",https://twitter.com/ReplayCrypto/status/1385496828406378500,False,,1,https://pbs.twimg.com/media/EzpGBdtWQAEXZXT.png,,,,,,,[],,,,
1385406543882072066,1385406543882072066,2021-04-23 07:03:54 IST,2021-04-23,07:03:54,+0530,1028989226841505793,replaycrypto,ReplayCrypto.com,,"This is our #BNB future price forecast! -&gt; #BNB 6h forecast -&gt; From Apr 23, 3AM (CET) to Apr 23, 9AM (CET) we predicted the price of $BNB / $BNBUSD will be in range $455.39 - $508.79 (-9.6% 1.0%).  https://t.co/ml66c0I1jW",en,[],[],['https://pbs.twimg.com/media/Eznz6LsWQAIxU3A.png'],0,0,0,"['bnb', 'bnb']","['bnb', 'bnbusd']",https://twitter.com/ReplayCrypto/status/1385406543882072066,False,,1,https://pbs.twimg.com/media/Eznz6LsWQAIxU3A.png,,,,,,,[],,,,
1385406384557203457,1385406384557203457,2021-04-23 07:03:16 IST,2021-04-23,07:03:16,+0530,1028989226841505793,replaycrypto,ReplayCrypto.com,,"This is our #ETH future price forecast! -&gt; #Ethereum 6h forecast -&gt; From Apr 23, 3AM (CET) to Apr 23, 9AM (CET) we predicted the price of $ETH / $ETHUSD will be in range $2326.08 - $2429.51 (-2.0% 2.3%).  https://t.co/X9DLSC0XzJ",en,[],[],['https://pbs.twimg.com/media/Eznzw6gXIAUyDy9.png'],0,0,0,"['eth', 'ethereum']","['eth', 'ethusd']",https://twitter.com/ReplayCrypto/status/1385406384557203457,False,,1,https://pbs.twimg.com/media/Eznzw6gXIAUyDy9.png,,,,,,,[],,,,
1385406224569618434,1385406224569618434,2021-04-23 07:02:38 IST,2021-04-23,07:02:38,+0530,1028989226841505793,replaycrypto,ReplayCrypto.com,,"This is our #BTC future price forecast! -&gt; #Bitcon 6h forecast -&gt; From Apr 23, 3AM (CET) to Apr 23, 9AM (CET) we predicted the price of $BTC / $BTCUSD will be in range $49410.82 - $52039.33 (-4.1% 1.0%).  https://t.co/KPzh0Pnarz",en,[],[],['https://pbs.twimg.com/media/EznznmLXEAEVeno.png'],0,0,1,"['btc', 'bitcon']","['btc', 'btcusd']",https://twitter.com/ReplayCrypto/status/1385406224569618434,False,,1,https://pbs.twimg.com/media/EznznmLXEAEVeno.png,,,,,,,[],,,,
