id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Sentiment,Emotions
1.3857E+18,1.3857E+18,2021-04-24 02:30:01 IST,24-04-2021,02:30:01,530,2296472342,bitcoin10min,Bitcoin Price,,$50601.28 | €41924.42 | ¥332819.84 | £36575.09 #bitcoinprice #cryptocurrency #bitcoin,und,[],[],[],0,1,0,"['bitcoinprice', 'cryptocurrency', 'bitcoin']",[],https://twitter.com/Bitcoin10min/status/1385700008050282496,FALSE,,0,,,,,,,,[],,,,,NA,NA
1.3857E+18,1.3857E+18,2021-04-24 02:20:01 IST,24-04-2021,02:20:01,530,2296472342,bitcoin10min,Bitcoin Price,,$50779.98 | €42114.14 | ¥332819.84 | £36836.84 #bitcoinprice #cryptocurrency #bitcoin,und,[],[],[],0,0,0,"['bitcoinprice', 'cryptocurrency', 'bitcoin']",[],https://twitter.com/Bitcoin10min/status/1385697491438514182,FALSE,,0,,,,,,,,[],,,,,NA,NA
1.38569E+18,1.38569E+18,2021-04-24 02:10:01 IST,24-04-2021,02:10:01,530,2296472342,bitcoin10min,Bitcoin Price,,$51104.47 | €42362.78 | ¥332819.84 | £37011.60 #bitcoinprice #cryptocurrency #bitcoin,und,[],[],[],1,0,1,"['bitcoinprice', 'cryptocurrency', 'bitcoin']",[],https://twitter.com/Bitcoin10min/status/1385694975007105027,FALSE,,0,,,,,,,,[],,,,,NA,NA
1.38569E+18,1.38569E+18,2021-04-24 02:00:01 IST,24-04-2021,02:00:01,530,2296472342,bitcoin10min,Bitcoin Price,,$51315.06 | €42526.80 | ¥347965.25 | £37077.70 #bitcoinprice #cryptocurrency #bitcoin,und,[],[],[],0,0,0,"['bitcoinprice', 'cryptocurrency', 'bitcoin']",[],https://twitter.com/Bitcoin10min/status/1385692458382680064,FALSE,,0,,,,,,,,[],,,,,NA,NA
1.38569E+18,1.38569E+18,2021-04-24 01:50:01 IST,24-04-2021,01:50:01,530,2296472342,bitcoin10min,Bitcoin Price,,$51143.51 | €42398.07 | ¥347965.25 | £36960.29 #bitcoinprice #cryptocurrency #bitcoin,und,[],[],[],0,0,0,"['bitcoinprice', 'cryptocurrency', 'bitcoin']",[],https://twitter.com/Bitcoin10min/status/1385689941922009088,FALSE,,0,,,,,,,,[],,,,,NA,NA
1.38569E+18,1.38569E+18,2021-04-24 01:40:01 IST,24-04-2021,01:40:01,530,2296472342,bitcoin10min,Bitcoin Price,,$51059.09 | €42296.49 | ¥347965.25 | £36903.49 #bitcoinprice #cryptocurrency #bitcoin,und,[],[],[],0,0,0,"['bitcoinprice', 'cryptocurrency', 'bitcoin']",[],https://twitter.com/Bitcoin10min/status/1385687425004052482,FALSE,,0,,,,,,,,[],,,,,NA,NA
1.38568E+18,1.38568E+18,2021-04-24 01:30:01 IST,24-04-2021,01:30:01,530,2296472342,bitcoin10min,Bitcoin Price,,$50962.19 | €42214.01 | ¥347965.25 | £36808.42 #bitcoinprice #cryptocurrency #bitcoin,und,[],[],[],0,1,0,"['bitcoinprice', 'cryptocurrency', 'bitcoin']",[],https://twitter.com/Bitcoin10min/status/1385684908463566851,FALSE,,0,,,,,,,,[],,,,,NA,NA
1.38568E+18,1.38568E+18,2021-04-24 01:20:01 IST,24-04-2021,01:20:01,530,2296472342,bitcoin10min,Bitcoin Price,,$50855.06 | €42133.77 | ¥347965.25 | £36707.82 #bitcoinprice #cryptocurrency #bitcoin,und,[],[],[],0,0,0,"['bitcoinprice', 'cryptocurrency', 'bitcoin']",[],https://twitter.com/Bitcoin10min/status/1385682392279658496,FALSE,,0,,,,,,,,[],,,,,NA,NA
1.38568E+18,1.38568E+18,2021-04-24 01:10:01 IST,24-04-2021,01:10:01,530,2296472342,bitcoin10min,Bitcoin Price,,$50785.73 | €42091.31 | ¥347965.25 | £36645.85 #bitcoinprice #cryptocurrency #bitcoin,und,[],[],[],0,0,0,"['bitcoinprice', 'cryptocurrency', 'bitcoin']",[],https://twitter.com/Bitcoin10min/status/1385679875948924933,FALSE,,0,,,,,,,,[],,,,,NA,NA
1.38568E+18,1.38568E+18,2021-04-24 01:00:01 IST,24-04-2021,01:00:01,530,2296472342,bitcoin10min,Bitcoin Price,,$50707.29 | €42029.09 | ¥343935.73 | £36601.31 #bitcoinprice #cryptocurrency #bitcoin,und,[],[],[],0,0,0,"['bitcoinprice', 'cryptocurrency', 'bitcoin']",[],https://twitter.com/Bitcoin10min/status/1385677359077105671,FALSE,,0,,,,,,,,[],,,,,NA,NA
